group_id,timeslot_id,subject_id,teacher_id,room_id
G4,1,30001-1002,T12,R5201
G6,1,20901-2106,T05,R5306
G4,2,31901-2012,T04,R5306
G5,2,30001-1002,T12,R5201
G2,1,31901-2006,T03,R6405
G1,1,30000-1202,T06,R6201
G5,1,30000-2002,T01,R6301
G2,2,31901-2009,T05,R6405
G7,1,20000-1402,T17,R10401
G1,2,30000-1202,T06,R6201
G1,3,31901-2002,T01,R5306
G7,2,20901-8503,T07,R6301
G1,4,31901-2006,T03,R5306
G8,1,21901-2012,T13,R6203
G1,6,30001-1001,T09,R5306
G6,2,20901-2007,T18,R10401
G6,3,20001-1003,T15,R6405
G5,3,31900-0001,T07,R6201
G4,3,31901-2005,T03,R6301
G2,3,30001-1001,T09,R5201
G6,4,20901-8503,T07,R6405
G6,6,20901-2106,T05,R6405
G3,3,30001-1002,T12,R10401
G7,3,20901-2408,T13,R6203
G1,7,30000-1501,T02,R5306
G3,1,30000-1404,T11,R5402
G4,4,30001-1002,T12,R5201
G1,8,31901-2010,T04,R5201
G2,6,31901-2006,T03,R6201
G4,6,30000-1201,T10,R6301
G3,6,30001-1003,T07,R5201
G1,9,30000-2004,T07,R5306
G1,10,31901-2006,T03,R5306
G6,7,20901-8503,T07,R6405
G1,11,31901-2017,T07,R5306
G5,4,31901-2005,T08,R6201
G1,12,31901-2010,T04,R5306
G4,7,31901-2007,T01,R5201
G5,7,30000-1201,T10,R6201
G5,6,30001-1002,T12,R10401
G8,3,21901-2010,T18,R6402
G8,4,21901-2017,T05,R10401
G8,7,21901-2017,T05,R6301
G8,2,21901-2012,T13,R6203
G5,8,31900-1001,T07,R10401
G2,4,30001-1001,T09,R6301
G1,13,31901-2009,T04,R5306
G2,7,31901-2013,T08,R6203
G1,14,31901-2006,T03,R5201
G2,10,31901-2017,T07,R6405
G4,12,30001-1003,T07,R5201
G2,13,31901-2017,T07,R6405
G7,4,20901-2408,T13,R6203
G1,15,30001-1001,T09,R5201
G3,2,30000-1404,T11,R5402
G5,9,31901-2012,T04,R6405
G2,8,31901-2009,T05,R5306
G8,9,21901-2011,T05,R5201
G7,6,20901-9203,T08,R6203
G3,14,30001-1003,T07,R5306
G7,7,20001-1003,T15,R6402
G1,16,31901-2017,T07,R5306
G7,8,20901-2406,T18,R6405
G5,10,31901-2005,T08,R6201
G6,8,20901-2107,T13,R6201
G5,11,31900-0004,T01,R6405
G2,9,30000-1501,T02,R6201
G2,11,30000-1501,T02,R5201
G2,12,31901-2009,T05,R6405
G5,12,31900-0004,T01,R6201
G2,14,31901-2013,T08,R6405
G4,15,30001-1003,T07,R5306
G7,9,20901-2408,T13,R6301
G7,10,20901-2407,T13,R6301
G5,18,31900-0001,T07,R5306
G2,15,31901-2009,T04,R10401
G1,18,30000-2004,T08,R6405
G1,19,31901-2017,T07,R5306
G2,16,31901-2013,T08,R6405
G7,11,20901-2408,T13,R6201
G5,14,31900-1002,T04,R6201
G2,18,31901-2002,T01,R6201
G2,19,31901-2002,T01,R6405
G7,12,20901-9203,T08,R10401
G3,7,30001-1002,T12,R10401
G5,13,31901-2005,T03,R6201
G4,8,31901-2007,T01,R6301
G6,12,20901-2107,T13,R6301
G1,20,31901-2009,T04,R5306
G1,21,31901-2006,T03,R5306
G8,6,21900-1004,T18,R5402
G3,4,30000-1201,T10,R5402
G4,9,31901-2007,T01,R6203
G8,10,21901-2011,T05,R6203
G4,10,31901-2012,T04,R6402
G7,13,20901-2406,T18,R5201
G1,22,31901-2009,T04,R5201
G3,8,31901-2005,T03,R6203
G3,10,31901-2007,T01,R5201
G2,20,31901-2002,T01,R5201
G5,16,31900-1002,T04,R6201
G8,11,21901-2010,T18,R6301
G4,11,30001-1002,T12,R10401
G2,21,31901-2017,T07,R6405
G4,20,30001-1003,T07,R6405
G6,9,20001-1003,T15,R6402
G1,23,31901-2006,T03,R5306
G7,14,20001-1003,T15,R6301
G5,15,30001-1002,T12,R5402
G3,9,30001-1002,T12,R10401
G2,22,31901-2017,T07,R5306
G3,13,31901-2007,T01,R6301
G2,23,31901-2002,T01,R6405
G8,13,21901-2011,T05,R6203
G7,15,20901-2408,T13,R6405
G5,19,31901-2012,T04,R5201
G2,24,30000-2004,T07,R5306
G3,11,30000-2002,T04,R6203
G8,12,21901-2010,T18,R5402
G2,25,31901-2006,T03,R5306
G3,12,31901-2005,T03,R6203
G4,13,31901-2005,T08,R6402
G8,14,21901-2017,T05,R6203
G5,21,31900-1002,T04,R5201
G8,15,21901-2011,T05,R6201
G1,24,31901-2002,T01,R6405
G5,20,30000-1201,T10,R6201
G6,10,20001-1003,T15,R10401
G8,16,21901-2010,T18,R6301
G4,14,30000-1201,T10,R6402
G4,16,31901-2005,T03,R5201
G5,22,30000-1404,T11,R10401
G3,15,30000-1201,T10,R6301
G1,25,30000-1501,T02,R6405
G3,16,31901-2007,T01,R6203
G6,11,20901-2009,T08,R5402
G3,18,30000-1404,T11,R5201
G1,26,31901-2002,T01,R5306
G7,16,20901-2407,T13,R6402
G4,18,31901-2012,T04,R6301
G1,27,31901-2013,T08,R5201
G1,28,31901-2013,T08,R5306
G8,18,21901-2012,T13,R10401
G5,23,31900-0001,T07,R6201
G5,24,31901-2005,T03,R5201
G1,30,31901-2013,T08,R5306
G8,19,21901-2011,T05,R6201
G1,31,31901-2009,T04,R5306
G2,26,31901-2013,T08,R5201
G3,19,31901-2005,T03,R10401
G2,27,30001-1001,T09,R5306
G6,16,20901-2106,T05,R6204
G2,28,30000-1501,T02,R6405
G4,19,30000-1404,T11,R5402
G7,19,20901-2407,T13,R6301
G3,21,30000-1201,T10,R6201
G7,18,20000-1208,T16,R6203
G5,25,31901-2012,T04,R6201
G3,23,31901-2012,T04,R6301
G2,30,30000-1202,T06,R6405
G2,31,31901-2006,T03,R6405
G6,14,20901-2007,T18,R10401
G4,21,30000-1404,T11,R10401
G4,22,30000-1201,T10,R5402
G2,32,31901-2006,T03,R5201
G1,32,31901-2009,T04,R5306
G3,22,31901-2007,T01,R6405
G3,24,31901-2012,T04,R6201
G7,20,20000-1208,T16,R6301
G7,21,20901-2407,T13,R6301
G6,15,20901-2009,T08,R6203
G1,33,31901-2010,T04,R5306
G8,20,21900-1004,T18,R6203
G5,27,31900-0004,T01,R10401
G2,33,30000-1202,T06,R6405
G5,26,30000-1201,T10,R10401
G5,28,31900-0001,T07,R6201
G3,20,31901-2005,T03,R6402
G3,25,30000-2002,T01,R6301
G4,25,30001-1003,T07,R5201
G7,22,20901-2408,T13,R6201
G4,28,31901-2007,T01,R6301
G2,34,30000-2004,T07,R5306
G1,34,31901-2013,T08,R6405
G2,35,31901-2002,T01,R5306
G5,30,31901-2012,T04,R6201
G5,31,30000-1404,T11,R5201
G2,36,31901-2013,T08,R5306
G4,23,31901-2005,T08,R6203
G5,32,31900-0004,T01,R6405
G5,33,31901-2005,T03,R6201
G7,24,20901-9203,T08,R6301
G7,23,20901-2406,T18,R6402
G4,26,31901-2012,T04,R6405
G3,26,31901-2012,T07,R6201
G4,30,31901-2007,T01,R6301
G5,34,30000-2002,T01,R6201
G6,13,20901-2107,T13,R10401
G7,25,20000-2007,T18,R6203
G6,18,20901-2106,T05,R6402
G2,37,31901-2009,T04,R5306
G4,24,30000-2002,T13,R6203
G8,21,21900-1004,T18,R6203
G2,38,31901-2017,T07,R5306
G3,27,31901-2012,T04,R6405
G7,26,20001-1003,T15,R5402
G2,39,30001-1001,T09,R5201
G2,40,31901-2017,T07,R5306
G7,27,20000-2007,T18,R6201
G1,36,31901-2002,T01,R6405
G5,35,30000-1404,T11,R5201
G3,30,30001-1003,T07,R6203
G4,27,31901-2012,T07,R5402
G1,35,31901-2017,T07,R6405
G1,37,30000-1501,T02,R5201
G8,22,21901-2010,T18,R6301
G1,38,31901-2013,T08,R6405
G3,28,31901-2005,T03,R6203
G1,39,31901-2017,T07,R5306
G1,40,31901-2010,T04,R6405
G7,28,20000-1402,T17,R5201
G7,30,20901-8503,T18,R6402
G3,31,31901-2012,T07,R10401
G1,42,31901-2010,T04,R5306
G1,43,31901-2017,T07,R5306
G1,44,30001-1001,T09,R5306
G4,31,31901-2005,T08,R6201
G3,32,30001-1003,T07,R10401
G1,45,30001-1001,T09,R5201
G4,32,30000-2002,T13,R6201
G5,37,31900-0004,T01,R6405
G5,36,31901-2012,T04,R6201
G6,19,20901-2009,T08,R6203
G1,46,31901-2002,T01,R5201
G3,33,31901-2007,T01,R6301
G5,42,31900-0001,T07,R5201
G4,33,30000-1404,T11,R5201
